date,competitor,name,group,params,price,article,url
24.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '00-51-0130-00*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.6 г'}",16320,329446,https://sunlight.net/catalog/ring_329446.html
24.06.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '12949-K5Y-01', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Италия', 'Вес изделия': '3.0 г'}",47990,174038,https://sunlight.net/catalog/ring_174038.html
24.06.2024,Sunlight,"
    Золотое колье-леска
  ",Шейное украшение,"{'Модель': '01Л011673*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.21 г'}",15990,306258,https://sunlight.net/catalog/necklace_89692.html
24.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '2805094БР*', 'Материал изделия': 'Белое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.3 г'}",4190,45057,https://sunlight.net/catalog/pendants_45057.html
24.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '20751а*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.01 г'}",25990,349858,https://sunlight.net/catalog/earring_349858.html
24.06.2024,Sunlight,"
    Золотая подвеска ""Святая Блаженная Матрона""
  ",Подвески,"{'Модель': '35-0633-11-64*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.4 г'}",5490,241186,https://sunlight.net/catalog/pendants_241186.html
24.06.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'Т2080382155*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '4,05 мм', 'Плетение': 'Гарибальди', 'Страна производства': 'Россия', 'Вес изделия': '27.93 г'}",139371,151958,https://sunlight.net/catalog/chains_151958.html
24.06.2024,Sunlight,"
    Золотое шейное украшение
  ",Шейное украшение,"{'Модель': '01Л011764*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.45 г'}",28660,343266,https://sunlight.net/catalog/neck_decoration_343266.html
24.06.2024,Sunlight,"
    Золотое шейное украшение
  ",Шейное украшение,"{'Модель': 'НХ 12-319 0,20*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.5 г'}",37100,988190,https://sunlight.net/catalog/neck_decoration_988190.html
24.06.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '010-0114-0000-020*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.77 г'}",9990,341064,https://sunlight.net/catalog/pendants_341064.html
