date,competitor,name,group,params,price,article,url
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '5-3944-303-1Ж*', 'Материал изделия': 'Желтое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.56 г'}",19500,194749,https://sunlight.net/catalog/ring_194749.html
18-06-2024,Sunlight,"
    Золотая подвеска с фианитами
  ",Подвески,"{'Модель': 'Т142033469*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.77 г'}",12490,189236,https://sunlight.net/catalog/pendants_189236.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '022508*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.76 г'}",32990,992730,https://sunlight.net/catalog/earring_992730.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами и наноситаллом турмалин параиба
  ",Кольца,"{'Модель': 'К122-6036НТрм*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Наноситал турмалин параиба, Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.07 г'}",12990,342188,https://sunlight.net/catalog/ring_342188.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами и бирюзой
  ",Кольца,"{'Модель': '096045_01_01_005_2600*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бирюза, Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.74 г'}",22990,276038,https://sunlight.net/catalog/ring_276038.html
18-06-2024,Sunlight,"
    Золотое шейное украшение с изумрудами и бриллиантами
  ",Шейное украшение,"{'Модель': '73635-H5W-04', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант, Изумруд гидротермальный', 'Страна производства': 'Россия', 'Вес изделия': '2.3 г'}",57990,992114,https://sunlight.net/catalog/neck_decoration_992114.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '02-8618*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.71 г'}",9990,135505,https://sunlight.net/catalog/earring_135505.html
18-06-2024,Sunlight,"
    Золотая подвеска с жемчугом
  ",Подвески,"{'Модель': '095879_03_01_000_0072*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Жемчуг культивированный', 'Страна производства': 'Россия', 'Вес изделия': '2.01 г'}",21990,270184,https://sunlight.net/catalog/pendants_270184.html
18-06-2024,Sunlight,"
    Золотое колье с бриллиантами
  ",Колье,"{'Модель': '71525-H5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '0.54 г'}",32990,282248,https://sunlight.net/catalog/necklace_282248.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '23-40-43*', 'Диаметр серег': '40 мм', 'Страна производства': 'Россия', 'Вес изделия': '3.03 г'}",30990,244055,https://sunlight.net/catalog/earring_244055.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '2-1626*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.71 г'}",22990,983708,https://sunlight.net/catalog/earring_983708.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '002-0429-0000-010*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.6 г'}",17990,341059,https://sunlight.net/catalog/earring_341059.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': 'К13213835-501*', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.74 г'}",16360,241617,https://sunlight.net/catalog/ring_241617.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '23-23-47*', 'Диаметр серег': '23 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.75 г'}",18990,244067,https://sunlight.net/catalog/earring_244067.html
18-06-2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '70408-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '0.96 г'}",40990,99837,https://sunlight.net/catalog/ring_99837.html
18-06-2024,Sunlight,"
    Золотой пирсинг в нос
  ",Пирсинг,"{'Модель': '500000731*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.12 г'}",1890,91021,https://sunlight.net/catalog/piercing_91021.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '12-02-0001-23507*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.17 г'}",15990,41855,https://sunlight.net/catalog/earring_41855.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '73592-C5M-01', 'Материал изделия': 'Белое золото, Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '3.13 г'}",39990,990420,https://sunlight.net/catalog/earring_990420.html
18-06-2024,Sunlight,"
    Золотое кольцо с кварцем
  ",Кольца,"{'Модель': '5-5735-200-1Ж-КвЛимГорХрус*', 'Материал изделия': 'Желтое золото', 'Вставка': 'Кварц', 'Страна производства': 'Россия', 'Вес изделия': '2.89 г'}",29990,339044,https://sunlight.net/catalog/ring_339044.html
18-06-2024,Sunlight,"
    Золотое кольцо c бриллиантом
  ",Кольца,"{'Модель': '0832-K5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.75 г'}",44990,52000,https://sunlight.net/catalog/ring_52000.html
18-06-2024,Sunlight,"
    Золотой крест-подвеска с бриллиантами
  ",Крест-подвеска,"{'Модель': '72007-P5P-01', 'Материал изделия': 'Белое золото, Желтое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '5.29 г'}",119990,316496,https://sunlight.net/catalog/pendants_145004.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '2-0010-LO1-5-101*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '4.73 г'}",47990,279743,https://sunlight.net/catalog/earring_279743.html
18-06-2024,Sunlight,"
    Золотые серьги с топазами
  ",Серьги,"{'Модель': 'С225-7435ТЛ*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Топаз лондон', 'Страна производства': 'Россия', 'Вес изделия': '2.3 г'}",41990,993410,https://sunlight.net/catalog/earring_993410.html
18-06-2024,Sunlight,"
    Золотое кольцо с сапфирами
  ",Кольца,"{'Модель': '68430Н.1*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Наносапфир', 'Страна производства': 'Россия', 'Вес изделия': '2.68 г'}",21990,306032,https://sunlight.net/catalog/ring_306032.html
18-06-2024,Sunlight,"
    Золотая подвеска с фианитами
  ",Подвески,"{'Модель': '10119800*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.71 г'}",7490,351714,https://sunlight.net/catalog/pendants_351714.html
18-06-2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '097953_03_01_000_0000*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.22 г'}",2990,333337,https://sunlight.net/catalog/pendants_333337.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '23-30-00*', 'Диаметр серег': '30 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.78 г'}",26990,244012,https://sunlight.net/catalog/earring_244012.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '20-02-0001-12271*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.75 г'}",10310,343691,https://sunlight.net/catalog/ring_343691.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'СГ-18/1015_1*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.37 г'}",14990,258319,https://sunlight.net/catalog/earring_258319.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '22-25-12*', 'Диаметр серег': '25 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.47 г'}",15990,244003,https://sunlight.net/catalog/earring_244003.html
18-06-2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'Т1030022755*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '1,65 мм', 'Плетение': 'Сингапур', 'Страна производства': 'Россия', 'Вес изделия': '3.09 г'}",18509,338751,https://sunlight.net/catalog/chains_40211.html
18-06-2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '10219.3*', 'Материал изделия': 'Белое золото, Желтое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '1.01 г'}",12990,92501,https://sunlight.net/catalog/pendants_92501.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': 'б1131103*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.63 г'}",19800,991996,https://sunlight.net/catalog/ring_991996.html
18-06-2024,Sunlight,"
    Золотое колье с фианитами
  ",Колье,"{'Модель': '0704197/35*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '3.24 г'}",40500,345765,https://sunlight.net/catalog/necklace_345765.html
18-06-2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '2666-K5R-03', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.07 г'}",16990,57985,https://sunlight.net/catalog/ring_57985.html
18-06-2024,Sunlight,"
    Золотое кольцо с сапфирами и бриллиантами
  ",Кольца,"{'Модель': '70772-K5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Сапфир, Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.83 г'}",59990,234081,https://sunlight.net/catalog/ring_234081.html
18-06-2024,Sunlight,"
    Золотые серьги с топазами и бриллиантами
  ",Серьги,"{'Модель': '73142-C5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Топаз свисс, Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '3.99 г'}",57990,349591,https://sunlight.net/catalog/earring_349591.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': 'С006-01-01б*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.33 г'}",18990,246533,https://sunlight.net/catalog/earring_246533.html
