date,competitor,name,group,params,price,article,url
25-06-2024,Sunlight,"
    Золотая подвеска с бриллиантами
  ",Подвески,"{'Модель': '4058-P5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Вес изделия': '0.95 г'}",44990,20231,https://sunlight.net/catalog/pendants177999.html
25-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '10-02-0001-25201*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.53 г'}",32990,58969,https://sunlight.net/catalog/earring_58969.html
25-06-2024,Sunlight,"
    Золотая подвеска с бриллиантами
  ",Подвески,"{'Модель': '73164-P5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '0.3 г'}",7490,353847,https://sunlight.net/catalog/pendants_353847.html
25-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '70266100-1*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.72 г'}",20900,354093,https://sunlight.net/catalog/ring_354093.html
25-06-2024,Sunlight,"
    Золотое кольцо с кварцем
  ",Кольца,"{'Модель': 'КРК-01*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Кварц', 'Страна производства': 'Россия', 'Вес изделия': '1.12 г'}",14990,988466,https://sunlight.net/catalog/ring_988466.html
25-06-2024,Sunlight,"
    Золотая подвеска с изумрудами
  ",Подвески,"{'Модель': '73054-P5P-01', 'Материал изделия': 'Белое золото, Желтое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Изумруд', 'Страна производства': 'Россия', 'Вес изделия': '2.19 г'}",51990,349302,https://sunlight.net/catalog/pendants_109550.html
25-06-2024,Sunlight,"
    Золотая подвеска с агатом
  ",Подвески,"{'Модель': '10-1-178-0900-010*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Агат', 'Страна производства': 'Россия', 'Вес изделия': '0.89 г'}",14990,993993,https://sunlight.net/catalog/pendants_993993.html
25-06-2024,Sunlight,"
    Золотые серьги с топазами
  ",Серьги,"{'Модель': '2111442_21*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Топаз', 'Страна производства': 'Россия', 'Вес изделия': '3.95 г'}",37990,279400,https://sunlight.net/catalog/earring_279400.html
25-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '1081403*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.95 г'}",25450,992006,https://sunlight.net/catalog/ring_992006.html
25-06-2024,Sunlight,"
    Золотые серьги c бриллиантами
  ",Серьги,"{'Модель': '0297-C5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '2.14 г'}",124990,64381,https://sunlight.net/catalog/earring_64381.html
25-06-2024,Sunlight,"
    Золотое кольцо с топазами и бриллиантами
  ",Кольца,"{'Модель': '72816-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Топаз свисс, Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.24 г'}",25990,338004,https://sunlight.net/catalog/ring_338004.html
25-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': 'б051018*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.3 г'}",17990,345928,https://sunlight.net/catalog/earring_345928.html
25-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '1415418*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.65 г'}",20990,988309,https://sunlight.net/catalog/earring_988309.html
