date,competitor,name,group,params,price,article,url
18-06-2024,Sunlight,"
    Серебряное шейное украшение с золотой вставкой и бриллиантами
  ",Шейное украшение,"{'Модель': '06-3141/000Б-00', 'Материал изделия': 'Серебро', 'Покрытие': 'с элементами позолоты', 'Вставка': 'Бриллиант, Золото Au 585', 'Страна производства': 'Россия', 'Вес изделия': '1.99 г'}",4790,335632,https://sunlight.net/catalog/neck_decoration_335632.html
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '14140009*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.63 г'}",14830,110527,https://sunlight.net/catalog/bracelets_110527.html
18-06-2024,Sunlight,"
    Золотой браслет с фианитами
  ",Браслеты,"{'Модель': 'Бр132-4398-17*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '7.7 г'}",88940,84027,https://sunlight.net/catalog/bracelets_84027.html
18-06-2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-142-000Ж*', 'Материал изделия': 'Желтое золото', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.45 г'}",27930,984582,https://sunlight.net/catalog/ring_984582.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': 'С132-984*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.08 г'}",13490,267544,https://sunlight.net/catalog/earring_267544.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '11210376/1*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.72 г'}",9990,354515,https://sunlight.net/catalog/earring_354515.html
18-06-2024,Sunlight,"
    Золотое обручальное кольцо с бриллиантами
  ",Кольца,"{'Модель': '1-873-103К*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Ширина кольца': '3,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.18 г'}",23990,279587,https://sunlight.net/catalog/ring_279587.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '5-4123-303-1К*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.12 г'}",13550,304067,https://sunlight.net/catalog/ring_304067.html
18-06-2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '11196.1*', 'Материал изделия': 'Белое золото, Розовое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '6.82 г'}",91990,93912,https://sunlight.net/catalog/pendants_93912.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '5-5339-303-2Б*', 'Материал изделия': 'Белое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.17 г'}",12990,304077,https://sunlight.net/catalog/earring_304077.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами и сапфирами
  ",Кольца,"{'Модель': '67377АБ.1*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит, Наносапфир', 'Страна производства': 'Россия', 'Вес изделия': '2.23 г'}",28990,333640,https://sunlight.net/catalog/ring_333640.html
18-06-2024,Sunlight,"
    Золотые серьги с сапфирами
  ",Серьги,"{'Модель': '73099-C5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Сапфир', 'Страна производства': 'Россия', 'Вес изделия': '4.01 г'}",81990,340334,https://sunlight.net/catalog/earring_340334.html
18-06-2024,Sunlight,"
    Золотая подвеска с топазами
  ",Подвески,"{'Модель': '3111837_21*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Топаз скай', 'Страна производства': 'Россия', 'Вес изделия': '1.34 г'}",13990,349525,https://sunlight.net/catalog/pendants_349525.html
18-06-2024,Sunlight,"
    Золотой значок с фианитом
  ",Брошь,"{'Модель': '12020020*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.38 г'}",7990,85125,https://sunlight.net/catalog/brooch_85125.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': 'кл2998-01*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.33 г'}",31800,343622,https://sunlight.net/catalog/ring_343622.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '72651-C5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.39 г'}",22990,340541,https://sunlight.net/catalog/earring_340541.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '005-0134-0000-010*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.22 г'}",15990,983989,https://sunlight.net/catalog/earring_983989.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': 'Т14202Б852-03*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.01 г'}",10990,354298,https://sunlight.net/catalog/earring_354298.html
18-06-2024,Sunlight,"
    Золотая подвеска с танзанитом и бриллиантами
  ",Подвески,"{'Модель': '73259-P5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант, Танзанит', 'Страна производства': 'Россия', 'Вес изделия': '1.13 г'}",39990,349466,https://sunlight.net/catalog/pendants_349466.html
18-06-2024,Sunlight,"
    Золотые серьги с изумрудами
  ",Серьги,"{'Модель': '73130-C5R-01', 'Материал изделия': 'Розовое золото', 'Вставка': 'Изумруд', 'Страна производства': 'Россия', 'Вес изделия': '3.39 г'}",67990,347321,https://sunlight.net/catalog/earring_347321.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '14-20-0000-26340*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.43 г'}",32990,111405,https://sunlight.net/catalog/earring_111405.html
18-06-2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '79088500*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.89 г'}",26300,99555,https://sunlight.net/catalog/ring_99555.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '70411-C5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.86 г'}",284990,112276,https://sunlight.net/catalog/earring_112276.html
