date,competitor,name,group,params,price,article,url
18-06-2024,Sunlight,"
    Золотая подвеска-зодиак ""Козерог""
  ",Подвески,"{'Модель': 'А470300.10/з*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.39 г'}",16990,271348,https://sunlight.net/catalog/pendants_271348.html
18-06-2024,Sunlight,"
    Золотое обручальное кольцо с бриллиантами
  ",Кольца,"{'Модель': '72129-K5M-01', 'Материал изделия': 'Белое золото, Розовое золото', 'Вставка': 'Бриллиант', 'Ширина кольца': '6,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '4.0 г'}",48990,153515,https://sunlight.net/catalog/ring_153515.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '002-0605-0001-011*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '3.83 г'}",48990,983983,https://sunlight.net/catalog/earring_983983.html
18-06-2024,Sunlight,"
    Золотое обручальное кольцо с бриллиантами
  ",Кольца,"{'Модель': '72803-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Ширина кольца': '4,5 мм', 'Страна производства': 'Россия', 'Вес изделия': '3.19 г'}",61990,342813,https://sunlight.net/catalog/ring_342813.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '73494-C5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.77 г'}",59990,989848,https://sunlight.net/catalog/earring_989848.html
18-06-2024,Sunlight,"
    Золотая подвеска ""Казанская Божья Матерь""
  ",Подвески,"{'Модель': '74041*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '0.94 г'}",11490,277643,https://sunlight.net/catalog/pendants_277643.html
18-06-2024,Sunlight,"
    Золотое обручальное кольцо с бриллиантами
  ",Кольца,"{'Модель': '72811-K5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Ширина кольца': '7,8 мм', 'Страна производства': 'Россия', 'Вес изделия': '4.61 г'}",74990,342821,https://sunlight.net/catalog/ring_342821.html
18-06-2024,Sunlight,"
    Золотое кольцо с ониксом и бриллиантами
  ",Кольца,"{'Модель': '9768-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Оникс, Бриллиант', 'Вес изделия': '4.75 г'}",36990,57734,https://sunlight.net/catalog/ring_57734.html
18-06-2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '01К0314358*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.15 г'}",37480,990997,https://sunlight.net/catalog/ring_990997.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'л0504815*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.83 г'}",7990,345709,https://sunlight.net/catalog/earring_345709.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '06001-10-030106-00*', 'Материал изделия': 'Желтое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '3.13 г'}",29740,353797,https://sunlight.net/catalog/ring_353797.html
