date,competitor,name,group,params,price,article,url
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '1059658/1*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.66 г'}",20580,355529,https://sunlight.net/catalog/bracelets_355529.html
18-06-2024,Sunlight,"
    Золотой браслет с фианитами
  ",Браслеты,"{'Модель': '7703566ш/16,5*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '3.22 г'}",31400,355720,https://sunlight.net/catalog/bracelets_355720.html
18-06-2024,Sunlight,"
    Золотое шейное украшение
  ",Шейное украшение,"{'Модель': '33-20-0000-69863*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '5.39 г'}",47970,354008,https://sunlight.net/catalog/neck_decoration_354008.html
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '01Б033080*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '12.69 г'}",133240,351764,https://sunlight.net/catalog/bracelets_351764.html
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '01Б031024*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '6.86 г'}",76830,351761,https://sunlight.net/catalog/bracelets_351761.html
18-06-2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'И2050741345*', 'Материал изделия': 'Желтое золото', 'Ширина цепи': '4,4 мм', 'Плетение': 'Муза', 'Страна производства': 'Россия', 'Вес изделия': '12.08 г'}",78399,989834,https://sunlight.net/catalog/chains_989834.html
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '01Б032892*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '8.42 г'}",91060,343094,https://sunlight.net/catalog/bracelets_343094.html
18-06-2024,Sunlight,"
    Золотой браслет с фианитами
  ",Браслеты,"{'Модель': '0606129', 'Материал изделия': 'Желтое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '13.85 г'}",143350,342623,https://sunlight.net/catalog/bracelets_342623.html
18-06-2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': 'БР-18/1045*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '9.49 г'}",94900,341395,https://sunlight.net/catalog/bracelets_341395.html
18-06-2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'црс335а2-а51*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '2,63 мм', 'Плетение': 'Ромб тройной', 'Страна производства': 'Россия', 'Вес изделия': '4.82 г'}",27908,330200,https://sunlight.net/catalog/chains_330200.html
18-06-2024,Sunlight,"
    Золотое шейное украшение с бриллиантом
  ",Шейное украшение,"{'Модель': '71517-H5R-02', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '2.37 г'}",174990,308847,https://sunlight.net/catalog/neck_decoration_308847.html
18-06-2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'НЦ 18-028-3 0.25*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Ширина цепи': '1,49 мм', 'Плетение': 'Сингапур', 'Страна производства': 'Россия', 'Вес изделия': '1.7 г'}",9843,52757,https://sunlight.net/catalog/chains_52757.html
18-06-2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '2805094Ж*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.32 г'}",4190,47158,https://sunlight.net/catalog/pendants_47158.html
18-06-2024,Sunlight,"
    Золотая подвеска с рубинами и бриллиантами
  ",Подвески,"{'Модель': '0983-P5R-02', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант, Рубин синтетический', 'Страна производства': 'Россия', 'Вес изделия': '0.68 г'}",10990,347450,https://sunlight.net/catalog/pendants_347450.html
18-06-2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '003-0513-0000-010*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.05 г'}",13990,993610,https://sunlight.net/catalog/pendants_993610.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '70608-C5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '2.18 г'}",59990,146856,https://sunlight.net/catalog/earring_146856.html
18-06-2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '0102255*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.59 г'}",59990,354845,https://sunlight.net/catalog/earring_354845.html
