date,competitor,name,group,params,price,article,url
18-06-2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '3000177*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.75 г'}",10490,284150,https://sunlight.net/catalog/pendants_284150.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '70251000*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.27 г'}",21450,354889,https://sunlight.net/catalog/ring_354889.html
18-06-2024,Sunlight,"
    Серебряное кольцо с золотой вставкой и бриллиантами
  ",Кольца,"{'Модель': '01-3118/000Б-17', 'Материал изделия': 'Серебро', 'Покрытие': 'с элементами позолоты', 'Вставка': 'Бриллиант, Золото Au 585', 'Страна производства': 'Россия', 'Вес изделия': '2.1 г'}",3990,335625,https://sunlight.net/catalog/ring_335625.html
18-06-2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '1180921010W*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.43 г'}",13440,990385,https://sunlight.net/catalog/ring_990385.html
18-06-2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '12010878*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '2.2 г'}",21990,341493,https://sunlight.net/catalog/earring_341493.html
18-06-2024,Sunlight,"
    Золотое шейное украшение с рубинами
  ",Шейное украшение,"{'Модель': '73537-H5R-01', 'Материал изделия': 'Розовое золото', 'Вставка': 'Рубин синтетический', 'Страна производства': 'Россия', 'Вес изделия': '3.75 г'}",38990,991193,https://sunlight.net/catalog/neck_decoration_991193.html
18-06-2024,Sunlight,"
    Золотая подвеска Владимирская Божия Матерь
  ",Подвески,"{'Модель': '35-0657-11-62*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.46 г'}",5490,276738,https://sunlight.net/catalog/pendants_276738.html
18-06-2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-142-003Б*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '2.5 г'}",28500,984894,https://sunlight.net/catalog/ring_984894.html
18-06-2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '73158-C5R-02', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '0.76 г'}",11990,125360,https://sunlight.net/catalog/earring_125360.html
18-06-2024,Sunlight,"
    Золотое кольцо с агатом
  ",Кольца,"{'Модель': 'КМ-337_з*', 'Материал изделия': 'Розовое золото', 'Вставка': 'Агат', 'Страна производства': 'Россия', 'Вес изделия': '7.64 г'}",99990,344156,https://sunlight.net/catalog/ring_344156.html
