data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Крест из комбинированного золота с гравировкой,pendants,0.74 г,11250,24990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121142
18-06-2024,Sokolov,Крест из комбинированного золота с гравировкой,pendants,0.48 г,9450,20990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121145
18-06-2024,Sokolov,Крест из комбинированного золота с алмазной гранью,pendants,0.73 г,11700,25990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121206
18-06-2024,Sokolov,Крест из комбинированного золота с алмазной гранью,pendants,0.69 г,12150,26990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121207
18-06-2024,Sokolov,Крест из комбинированного золота с алмазной гранью,pendants,0.66 г,9000,19990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121209
18-06-2024,Sokolov,Крест из комбинированного золота с гравировкой,pendants,0.96 г,13500,29990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121213
18-06-2024,Sokolov,Крест из белого золота,pendants,3.61 г,37500,124990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Белое золото 585 пробы,,121232
18-06-2024,Sokolov,Православный крест из белого золота,pendants,1.27 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Белое золото 585 пробы,,121234
18-06-2024,Sokolov,Крест из золота,pendants,0.43 г,7650,16990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,121253
18-06-2024,Sokolov,Крест из золота с фианитами,pendants,1.11 г,19350,42990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (6 шт, 0.051 карат)",Красное золото 585 пробы,,121271
18-06-2024,Sokolov,Крест из золота с фианитами,pendants,1.11 г,19350,42990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (6 шт, 0.051 карат)",Красное золото 585 пробы,,121297
18-06-2024,Sokolov,Крест из золота,pendants,3.34 г,49500,109990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,121304
18-06-2024,Sokolov,Крест из золота с фианитами,pendants,0.82 г,13500,29990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (4 шт, 0.114 карат)",Красное золото 585 пробы,,121314
18-06-2024,Sokolov,Крест из золота,pendants,0.48 г,9000,19990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,121376
18-06-2024,Sokolov,Крест из золота,pendants,0.47 г,7650,16990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,121377
18-06-2024,Sokolov,Крест из золота,pendants,0.53 г,8550,18990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,121378
18-06-2024,Sokolov,Крест из золота,pendants,0.51 г,7650,16990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,121379
18-06-2024,Sokolov,Крест из золота с фианитами,pendants,1.11 г,17100,37990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.017 карат) и еще 1",Красное золото 585 пробы,,121393
18-06-2024,Sokolov,Крест из комбинированного золота с алмазной гранью,pendants,2 г,31500,69990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121395
18-06-2024,Sokolov,Крест из комбинированного золота,pendants,1.54 г,22500,49990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121399
18-06-2024,Sokolov,Крест из комбинированного золота,pendants,3.55 г,45000,149990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Комбинированное золото 585 пробы,,121401
18-06-2024,Sokolov,Крест из золота с фианитами,pendants,1.69 г,28350,62990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (4 шт, 0.066 карат)",Красное золото 585 пробы,,121454
18-06-2024,Sokolov,Серьги конго из золота,earrings,0.59 г,9000,19990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.59 г,140001
18-06-2024,Sokolov,Серьги конго из золота,earrings,1.15 г,18000,39990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.15 г,140002
18-06-2024,Sokolov,Серьги конго из золота,earrings,1.74 г,27900,61990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.74 г,140003
18-06-2024,Sokolov,Серьги конго из золота,earrings,2.32 г,35100,77990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,2.32 г,140004
18-06-2024,Sokolov,Серьги конго из золота,earrings,2.89 г,34200,75990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,2.89 г,140005
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,0.67 г,9450,20990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.67 г,140006
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.3 г,15750,34990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.3 г,140007
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,2.05 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,2.05 г,140008
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,2.72 г,34200,75990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,2.72 г,140009
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,3.38 г,41400,91990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,3.38 г,140010
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,0.62 г,10350,22990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.62 г,140011
18-06-2024,Sokolov,Серьги конго из золота,earrings,3.67 г,45000,99990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,3.67 г,140016
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,2.61 г,40500,89990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,2.61 г,140046
18-06-2024,Sokolov,Серьги конго из золота,earrings,0.87 г,11700,25990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.87 г,140058
18-06-2024,Sokolov,Серьги конго из золота,earrings,1.45 г,18900,41990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.45 г,140059
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,0.99 г,14400,31990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.99 г,140062
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.65 г,23400,51990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.65 г,140063
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,3.06 г,38700,85990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,3.06 г,140065
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,0.91 г,13050,28990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.91 г,140066
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.46 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.46 г,140067
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,2.8 г,31500,69990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,2.8 г,140069
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,0.9 г,12600,27990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,0.9 г,140120
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.22 г,16200,35990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.22 г,140121
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.55 г,18000,39990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.55 г,140122
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.65 г,25200,55990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.65 г,140138
18-06-2024,Sokolov,Серьги конго из золота с алмазной гранью,earrings,1.49 г,18900,41990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,1.49 г,140154
18-06-2024,Sokolov,Серьги одиночные из золота,earrings,0.33 г,5400,11990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,10,170001
18-06-2024,Sokolov,Серьги одиночные из золота с алмазной гранью,earrings,0.3 г,5400,11990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,10,170002
18-06-2024,Sokolov,Серьги одиночные из золота с фианитом,earrings,0.57 г,10350,22990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.088 карат)",Красное золото 585 пробы,Пусет,170004
18-06-2024,Sokolov,Серьги одиночные из белого золота с фианитом,earrings,0.56 г,10350,22990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.088 карат)",Белое золото 585 пробы,Пусет,170005
18-06-2024,Sokolov,Серьги одиночные из золота с фианитом,earrings,0.65 г,9900,21990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.451 карат)",Красное золото 585 пробы,Пусет,170025
18-06-2024,Sokolov,Серьга из золота,earrings,0.47 г,7650,16990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,Пусет,170037
18-06-2024,Sokolov,Серьга из золота,earrings,1.01 г,14850,32990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,170040
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и сапфирами,rings,2.09 г,48000,159990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (7 шт, 0.684 карат) и еще 1",Красное золото 585 пробы,,2010670
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и сапфирами,rings,3.21 г,85500,189990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (5 шт, 1.046 карат) и еще 1",Красное золото 585 пробы,,2011007
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и сапфирами,rings,1.73 г,41850,92990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (12 шт, 0.342 карат) и еще 1",Красное золото 585 пробы,,2011037
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и сапфиром,rings,1.69 г,47250,104990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (1 шт, 0.291 карат) и еще 1",Красное золото 585 пробы,,2011132
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и сапфиром,rings,1.51 г,39000,129990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (1 шт, 0.395 карат) и еще 1",Белое золото 585 пробы,,2011158
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и сапфиром,rings,1.32 г,33000,109990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (1 шт, 0.141 карат) и еще 2",Белое золото 585 пробы,,2011164
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и сапфиром,rings,1.65 г,47250,104990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (1 шт, 0.395 карат) и еще 1",Белое золото 585 пробы,,2011169-3
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и сапфирами,rings,4.29 г,118500,394990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (9 шт, 1.177 карат) и еще 1",Красное золото 585 пробы,4.29 г,2011215
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и сапфирами,rings,3.26 г,72000,159990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (10 шт, 0.059 карат) и еще 1",Белое золото 585 пробы,3.26 г,2011270-3
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и сапфирами,rings,3.36 г,96750,214990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (70 шт, 0.259 карат) и еще 1",Белое золото 585 пробы,,2011276-3
18-06-2024,Sokolov,Серьги из золота с бриллиантами и сапфирами,earrings,4 г,119250,264990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (14 шт, 1.545 карат) и еще 1",Красное золото 585 пробы,Английский,2020458
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и сапфирами,earrings,1.12 г,36000,79990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (2 шт, 0.309 карат) и еще 1",Белое золото 585 пробы,Пусет,2021030
18-06-2024,Sokolov,Серьги из золота с бриллиантами и сапфирами,earrings,1.33 г,41850,92990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (2 шт, 0.269 карат) и еще 1",Красное золото 585 пробы,Пусет,2021032
18-06-2024,Sokolov,Серьги из белого золота с сапфирами,earrings,1.18 г,30600,67990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (2 шт, 0.266 карат)",Белое золото 585 пробы,Пусет,2021050-3
18-06-2024,Sokolov,Серьги из белого золота с сапфирами,earrings,1.66 г,54000,119990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (2 шт, 0.827 карат)",Белое золото 585 пробы,Пусет,2021059-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и сапфирами,earrings,2.12 г,54000,119990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Сапфир (2 шт, 0.402 карат) и еще 1",Белое золото 585 пробы,Английский,2021089-3
