data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
30.05.2024,Sokolov,"Обручальное кольцо из золота, comfort fit, 3,5 мм",rings,2.64 г,38250,84990,,Без вставок,Красное золото 585 пробы,,111093-01
30.05.2024,Sokolov,"Обручальное кольцо из золота, comfort fit, 4,5 мм",rings,3.21 г,49500,109990,,Без вставок,Красное золото 585 пробы,,111094-01
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, comfort fit, 3,5 мм",rings,2.63 г,37350,82990,,Без вставок,Белое золото 585 пробы,,112096-01
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, comfort fit, 4,5 мм",rings,3.29 г,49500,109990,,Без вставок,Белое золото 585 пробы,,112097-01
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 4 мм",rings,2.49 г,31500,69990,,Без вставок,Белое золото 585 пробы,,110201
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 3 мм",rings,1.78 г,23850,52990,,Без вставок,Белое золото 585 пробы,,110063
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 4 мм, с алмазной гранью",rings,2.56 г,35100,77990,,Без вставок,Белое золото 585 пробы,,112211
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 4 мм",rings,2 г,27000,59990,,Без вставок,Белое золото 585 пробы,,110062
30.05.2024,Sokolov,"Обручальное кольцо из золота, 4 мм",rings,1.45 г,21600,47990,,Без вставок,Красное золото 585 пробы,,110188
30.05.2024,Sokolov,"Обручальное кольцо из золота, 3 мм",rings,1.33 г,17100,37990,,Без вставок,Красное золото 585 пробы,,110187
30.05.2024,Sokolov,"Обручальное кольцо из золота, 5 мм",rings,2.92 г,37350,82990,,Без вставок,Красное золото 585 пробы,,110029
30.05.2024,Sokolov,"Обручальное кольцо из золота с алмазной гранью, 4 мм, с алмазной гранью",rings,2.15 г,23850,52990,,Без вставок,Красное золото 585 пробы,,110224
30.05.2024,Sokolov,"Обручальное кольцо из золота, 2,5 мм",rings,1.5 г,17100,37990,,Без вставок,Красное золото 585 пробы,,110183
30.05.2024,Sokolov,"Обручальное кольцо из золота, 3 мм",rings,1.8 г,23850,52990,,Без вставок,Красное золото 585 пробы,,110031
30.05.2024,Sokolov,"Цепь из золота, плетение Бисмарк, 585 проба",chains,9.71 г,73990,0,,Без вставок,Красное золото 585 пробы,Бисмарк,581070502
30.05.2024,Sokolov,"Цепь из золота, плетение Двойной ромб, 585 проба",chains,14.04 г,104990,0,,Без вставок,Красное золото 585 пробы,Ромб двойной,582011006
30.05.2024,Sokolov,"Цепь из золота, плетение Панцирное, 585 проба",chains,6.51 г,49990,0,,Без вставок,Красное золото 585 пробы,Панцирное,582040802
30.05.2024,Sokolov,"Цепь из золота, плетение Тройной ромб, 585 проба",chains,7.67 г,56990,0,,Без вставок,Красное золото 585 пробы,Ромб тройной,582100602
30.05.2024,Sokolov,"Цепь из золота, плетение Панцирное, 585 проба",chains,2.42 г,37350,82990,,Без вставок,Красное золото 585 пробы,Панцирное,582040502
30.05.2024,Sokolov,"Цепь из золота, плетение Нонна, 585 проба",chains,3.93 г,60750,134990,,Без вставок,Красное золото 585 пробы,Нонна,582020502
30.05.2024,Sokolov,"Цепь из золота, плетение Сингапур, 585 проба",chains,2.82 г,47250,104990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,Сингапур,581060302
30.05.2024,Sokolov,"Цепь из золота, плетение Бисмарк, 585 проба",chains,7.71 г,112500,249990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Бисмарк,582070602
30.05.2024,Sokolov,"Цепь из золота, плетение Двойной ромб, 585 проба",chains,3.89 г,56250,124990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Ромб двойной,582010506
30.05.2024,Sokolov,"Цепь из золота, плетение якорное, 585 проба",chains,2.36 г,33750,74990,,Без вставок,Красное золото 585 пробы,Якорь бриллиантовый,582030500
30.05.2024,Sokolov,"Цепь из золота, плетение Снейк, 585 проба",chains,2.71 г,44100,97990,,Без вставок,Красное золото 585 пробы,Снейк,581080258
30.05.2024,Sokolov,"Цепь из золота, плетение Якорное, 585 проба",chains,1.19 г,20250,44990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,Якорное,581030258
30.05.2024,Sokolov,"Цепь из золота, плетение Бисмарк, 585 проба",chains,3.36 г,49500,109990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Бисмарк,582070402
30.05.2024,Sokolov,"Цепь из золота, плетение Двойной ромб, 585 проба",chains,9.51 г,108000,239990,,Без вставок,Красное золото 585 пробы,Ромб двойной,582010806
30.05.2024,Sokolov,"Цепь из золота, плетение Нонна, 585 проба",chains,5.61 г,78750,174990,,Без вставок,Красное золото 585 пробы,Нонна,582020602
30.05.2024,Sokolov,"Цепь из золота, плетение Снейк, 585 проба",chains,3.72 г,58500,129990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Снейк,581080308
30.05.2024,Sokolov,"Цепь из золота, плетение Панцирное, 585 проба",chains,1.56 г,27000,59990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,Панцирное,581040252
30.05.2024,Sokolov,"Цепь из золота, плетение Двойной ромб, 585 проба",chains,5.87 г,69750,154990,,Без вставок,Красное золото 585 пробы,Ромб двойной,582010606
30.05.2024,Sokolov,"Цепь из золота, плетение Панцирное, 585 проба",chains,2.85 г,42750,94990,,Без вставок,Красное золото 585 пробы,Панцирное,581040352
30.05.2024,Sokolov,"Цепь из золота, плетение Якорное, 585 проба",chains,2.04 г,31500,69990,,Без вставок,Красное золото 585 пробы,Якорное,582030508
30.05.2024,Sokolov,"Цепь из золота, плетение Лав, 585 проба",chains,2.85 г,36000,79990,,Без вставок,Красное золото 585 пробы,Лав,581050302
30.05.2024,Sokolov,"Цепь из золота, плетение Нонна, 585 проба",chains,2.31 г,36000,79990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -10%,Без вставок,Красное золото 585 пробы,Нонна,582020402
30.05.2024,Sokolov,Брошь из золота,brooches,1.64 г,27000,59990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,040311
30.05.2024,Sokolov,Брошь из золота,brooches,0.46 г,8550,18990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,040163
30.05.2024,Sokolov,Брошь из золота,brooches,0.64 г,10800,23990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,040209
30.05.2024,Sokolov,Колье из золота,necklaces,1.3 г,21600,47990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,070557
30.05.2024,Sokolov,Колье из золота,necklaces,1.28 г,18000,39990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,070558
30.05.2024,Sokolov,Колье из золота,necklaces,1.81 г,24900,82990,,Без вставок,Красное золото 585 пробы,,070343
30.05.2024,Sokolov,Колье из золота,necklaces,2.66 г,38250,84990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,070434
30.05.2024,Sokolov,Колье из золота,necklaces,4.16 г,54000,119990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,070600
30.05.2024,Sokolov,Колье из золота,necklaces,2.02 г,28350,62990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,070595
30.05.2024,Sokolov,Колье из золота,necklaces,2.76 г,37350,82990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,070599
30.05.2024,Sokolov,Подвеска из золота,pendants,0.28 г,5170,11490,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,034683
30.05.2024,Sokolov,Подвеска из золота,pendants,0.83 г,13500,29990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,035031
30.05.2024,Sokolov,Подвеска из золота,pendants,0.25 г,4950,10990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,036192
30.05.2024,Sokolov,Подвеска из золота,pendants,0.22 г,4500,9990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -25%,Без вставок,Красное золото 585 пробы,,034667
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 4 мм",rings,3.13 г,44550,98990,,Без вставок,Комбинированное золото 585 пробы,,114110-01
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 4 мм",rings,3.13 г,45000,99990,,Без вставок,Комбинированное золото 585 пробы,,114120-01
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 3,5 мм",rings,2.26 г,31500,69990,,Без вставок,Комбинированное золото 585 пробы,,110202
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 3,5 мм",rings,2.23 г,29700,65990,,Без вставок,Комбинированное золото 585 пробы,,110156
30.05.2024,Sokolov,Обручальное кольцо из золота,rings,3.54 г,42300,93990,,Без вставок,Красное золото 585 пробы,,110238
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, с алмазной гранью",rings,3.54 г,38250,84990,,Без вставок,Белое золото 585 пробы,,110239-3
30.05.2024,Sokolov,"Обручальное кольцо из золота, 4 мм, с алмазной гранью",rings,2.59 г,35100,77990,,Без вставок,Красное золото 585 пробы,,111208
30.05.2024,Sokolov,"Обручальное кольцо из золота, 5 мм",rings,3.08 г,37350,82990,,Без вставок,Красное золото 585 пробы,,110225
30.05.2024,Sokolov,Обручальное кольцо из золота,rings,1.62 г,22500,49990,,Без вставок,Красное золото 585 пробы,,111227
30.05.2024,Sokolov,"Обручальное кольцо из золота, 6 мм",rings,3.65 г,44100,97990,,Без вставок,Красное золото 585 пробы,,110218
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 6 мм",rings,3.7 г,44100,97990,,Без вставок,Белое золото 585 пробы,,110219
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 2,5 мм, с алмазной гранью",rings,2.41 г,35100,77990,,Без вставок,Белое золото 585 пробы,,112010-01
30.05.2024,Sokolov,"Обручальное кольцо из белого золота, 5 мм",rings,3.11 г,37350,82990,,Без вставок,Белое золото 585 пробы,,110230
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота , 3,5 мм",rings,2.51 г,27000,59990,,Без вставок,Комбинированное золото 585 пробы,,110232
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота, comfort fit, 5 мм",rings,3.2 г,38700,85990,,Без вставок,Комбинированное золото 585 пробы,,110160
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 5 мм",rings,3.13 г,33750,74990,,Без вставок,Комбинированное золото 585 пробы,,110116
30.05.2024,Sokolov,Обручальное кольцо из белого золота,rings,3.47 г,41850,92990,,Без вставок,Белое золото 585 пробы,,110247-3
30.05.2024,Sokolov,Обручальное кольцо из золота,rings,3.53 г,31500,104990,,Без вставок,Красное золото 585 пробы,,110247
30.05.2024,Sokolov,Обручальное кольцо из белого золота,rings,2.51 г,28350,62990,,Без вставок,Белое золото 585 пробы,,110248-3
30.05.2024,Sokolov,Обручальное кольцо из золота,rings,2.62 г,22500,74990,,Без вставок,Красное золото 585 пробы,,110248
30.05.2024,Sokolov,"Обручальное кольцо из комбинированного золота, comfort fit, 3,5 мм",rings,2.86 г,31500,69990,,Без вставок,Комбинированное золото 585 пробы,,110208
30.05.2024,Sokolov,"Обручальное кольцо из золота, с алмазной гранью",rings,3.47 г,40500,89990,,Без вставок,Красное золото 585 пробы,,110239
30.05.2024,Sokolov,"Цепь из золота, плетение Двойной ромб, 585 проба",chains,2.55 г,42750,94990,Дополнительная скидка по акции «Готовимся к лету!» ЕЩЁ -20%,Без вставок,Красное золото 585 пробы,Ромб двойной,582010406
