data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Браслет из золота,bracelets,2.21 г,36000,79990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,051403
18-06-2024,Sokolov,Браслет из золота с фианитами,bracelets,0.99 г,15750,34990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (5 шт, 0.043 карат)",Красное золото 585 пробы,,051419
18-06-2024,Sokolov,Браслет из золота,bracelets,7.02 г,90000,199990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,051430
18-06-2024,Sokolov,Украшение в форме сердечка для пирсинга носа,piercing,0.19 г,3370,7490,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,060051
18-06-2024,Sokolov,Пирсинг в нос из золота с фианитами,piercing,0.22 г,3600,7990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (3 шт, 0.05 карат)",Красное золото 585 пробы,,060107
18-06-2024,Sokolov,Пирсинг в нос из золота с сиреневым фианитом,piercing,0.2 г,3820,8490,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.065 карат)",Красное золото 585 пробы,,060120
18-06-2024,Sokolov,Пирсинг в пупок из золота с фианитом,piercing,1.02 г,14850,32990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,060139
18-06-2024,Sokolov,Пирсинг в пупок из золота,piercing,0.83 г,13500,29990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,060206
18-06-2024,Sokolov,Пирсинг из золота,piercing,1.07 г,14850,32990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,060208
18-06-2024,Sokolov,Колье из золота с фианитом,necklaces,2.37 г,36000,79990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.414 карат)",Красное золото 585 пробы,,070421
18-06-2024,Sokolov,Колье из золота,necklaces,2.09 г,29250,64990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,070452
18-06-2024,Sokolov,Колье из золота с фианитом,necklaces,1.56 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.017 карат)",Красное золото 585 пробы,,070478
