data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами,rings,4.28 г,238500,529990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (7 шт, 0.466 карат) и еще 2",Белое золото 585 пробы,4.28 г,1012363-3
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантом,rings,1.23 г,54000,119990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (1 шт, 0.11 карат)",Белое золото 585 пробы,,1012495-3
18-06-2024,Sokolov,Кольцо из золота с бриллиантами,rings,2.5 г,114750,254990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (1 шт, 0.15 карат) и еще 1",Красное золото 585 пробы,,1012509
18-06-2024,Sokolov,Обручальное кольцо из желтого золота,rings,2.41 г,21000,104990,,Без вставок,Жёлтое золото 585 пробы,,113010-01
18-06-2024,Sokolov,Кольцо из белого золота с бриллиантами и рубином,rings,1.64 г,52500,174990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Рубин (1 шт, 0.44 карат) и еще 1",Белое золото 585 пробы,,4010656-3
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и турмалином,rings,1.99 г,97500,324990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (8 шт, 0.059 карат) и еще 2",Красное золото 585 пробы,,6014215
18-06-2024,Sokolov,Кольцо из белого золота с бесцветными и чёрными бриллиантами,rings,2.3 г,90000,199990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Черный бриллиант (24 шт, 0.622 карат) и еще 1",Белое золото 585 пробы,,7010059
18-06-2024,Sokolov,Кольцо из золота с янтарём и фианитами,rings,1.86 г,24000,79990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (2 шт, 0.017 карат) и еще 1",Красное золото 585 пробы,,715130
18-06-2024,Sokolov,Кольцо из золота с синими корунд (синт.) и фианитами,rings,3.09 г,25500,84990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Корунд (1 шт, 0.84 карат) и еще 7",Красное золото 585 пробы,,715515
18-06-2024,Sokolov,Кольцо из белого золота с ситаллом,rings,1.56 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Ситалл (1 шт, 1.452 карат)",Белое золото 585 пробы,,716169
18-06-2024,Sokolov,Кольцо из золота с гранатом и фианитами,rings,1.43 г,17400,57990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (1 шт, 0.606 карат) и еще 1",Красное золото 585 пробы,,716244
18-06-2024,Sokolov,Кольцо из золота с топазом,rings,2.62 г,29400,97990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 4.18 карат)",Красное золото 585 пробы,,716732
18-06-2024,Sokolov,Кольцо из золота с корундом и фианитами,rings,1.23 г,15750,34990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Корунд (1 шт, 0.321 карат) и еще 1",Красное золото 585 пробы,,716778
18-06-2024,Sokolov,Кольцо из золота с кварцем,rings,3.52 г,30000,99990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Кварц (1 шт, 5.935 карат)",Красное золото 585 пробы,,716871
18-06-2024,Sokolov,Кольцо из золота с фианитами,rings,2.13 г,26100,57990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (18 шт, 0.153 карат) и еще 1",Красное золото 585 пробы,,019205
18-06-2024,Sokolov,Кольцо из комбинированного золота с бриллиантом,rings,1.78 г,47250,104990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (1 шт, 0.081 карат)",Комбинированное золото 585 пробы,,1010788
18-06-2024,Sokolov,Кольцо из комбинированного золота с бриллиантами и топазом,rings,2.5 г,42000,139990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (10 шт, 0.078 карат) и еще 1",Комбинированное золото 585 пробы,,71-00103
18-06-2024,Sokolov,Кольцо из золота с бриллиантами и лондон топазом,rings,1.54 г,26100,57990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (8 шт, 0.03 карат) и еще 1",Красное золото 585 пробы,,71-00232
18-06-2024,Sokolov,Кольцо из золота с гранатом и фианитами,rings,1.81 г,23850,52990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (1 шт, 1.23 карат) и еще 1",Красное золото 585 пробы,,715268
18-06-2024,Sokolov,Кольцо из золота с гранатом и фианитами,rings,1.5 г,15900,52990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (1 шт, 0.49 карат) и еще 1",Красное золото 585 пробы,,716519
18-06-2024,Sokolov,Кольцо из золота с гранатом и фианитами,rings,1.9 г,20400,67990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (1 шт, 1.434 карат) и еще 1",Красное золото 585 пробы,,716602
18-06-2024,Sokolov,Кольцо из золота с раухтопазом,rings,1.41 г,15900,52990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 1.189 карат)",Красное золото 585 пробы,,716876
18-06-2024,Sokolov,Кольцо из золота с кварцем,rings,1.85 г,14400,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Кварц (1 шт, 1.905 карат)",Красное золото 585 пробы,,716885
18-06-2024,Sokolov,Кольцо из золота с жемчугом и фианитами,rings,1.89 г,20250,44990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Жемчуг натуральный (1 шт, 1.446 карат) и еще 3",Красное золото 585 пробы,,791118
18-06-2024,Sokolov,Кольцо из золота с жемчугом и фианитами,rings,2.02 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Жемчуг натуральный (1 шт, 4.6 карат) и еще 1",Красное золото 585 пробы,,791174
18-06-2024,Sokolov,Кольцо из желтого золота с бриллиантами,rings,2.97 г,87750,194990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Коньячный бриллиант (18 шт, 0.141 карат) и еще 2",Жёлтое золото 585 пробы,,1012605-2
18-06-2024,Sokolov,Кольцо из золота с бриллиантами,rings,1.35 г,28350,62990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (8 шт, 0.023 карат) и еще 1",Красное золото 585 пробы,,1012333
18-06-2024,Sokolov,Кольцо из желтого золота с фианитами,rings,2.16 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 1.455 карат) и еще 1",Жёлтое золото 585 пробы,,012953-2
18-06-2024,Sokolov,Кольцо из золота с фианитами,rings,1.64 г,18000,39990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.201 карат) и еще 3",Красное золото 585 пробы,,014952
18-06-2024,Sokolov,Печатка из золота с эмалью с фианитами,rings,6.09 г,64500,214990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (8 шт, 0.068 карат) и еще 1",Красное золото 585 пробы,,015072
18-06-2024,Sokolov,Кольцо из золота с фианитами,rings,1.41 г,16000,79990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (28 шт, 0.462 карат)",Красное золото 585 пробы,,016619
18-06-2024,Sokolov,Кольцо из золота с фианитами,rings,2.33 г,31500,69990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (26 шт, 0.429 карат)",Красное золото 585 пробы,,016769
18-06-2024,Sokolov,Кольцо из желтого золота с фианитом,rings,1.44 г,17100,37990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.801 карат)",Жёлтое золото 585 пробы,,016949-2
18-06-2024,Sokolov,Помолвочное кольцо из золота с фианитом,rings,1.66 г,23850,52990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (1 шт, 0.846 карат)",Красное золото 585 пробы,,016958
