data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Кольцо из золота с топазами и синтетическими ситалами,rings,2.63 г,39000,129990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Ситалл (2 шт, 0.4 карат) и еще 4",Красное золото 585 пробы,,716053
18-06-2024,Sokolov,Кольцо из золота с топазом и фианитами,rings,2.39 г,28350,62990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 1.822 карат) и еще 1",Красное золото 585 пробы,,716058
18-06-2024,Sokolov,Кольцо из золота с топазом и фианитами,rings,1.5 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.843 карат) и еще 3",Красное золото 585 пробы,,716126
18-06-2024,Sokolov,Кольцо из золота с топазами и фианитами,rings,1.48 г,19350,42990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.531 карат) и еще 2",Красное золото 585 пробы,,716147
18-06-2024,Sokolov,Кольцо из золота с гранатами,rings,1.51 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (2 шт, 0.044 карат) и еще 2",Красное золото 585 пробы,,716148
18-06-2024,Sokolov,Кольцо из золота с топазом и фианитами,rings,1.32 г,18900,62990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 1.17 карат) и еще 1",Красное золото 585 пробы,,716150
18-06-2024,Sokolov,Кольцо из белого золота с топазом,rings,1.08 г,20250,44990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.395 карат)",Белое золото 585 пробы,,716166
18-06-2024,Sokolov,Кольцо из белого золота с топазом и фианитами,rings,1.25 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.741 карат) и еще 1",Белое золото 585 пробы,,716183
18-06-2024,Sokolov,Кольцо из золота с топазом и фианитами,rings,1.61 г,18000,59990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.686 карат) и еще 1",Красное золото 585 пробы,,716197
18-06-2024,Sokolov,Кольцо из золота с аметистом и фианитами,rings,1.58 г,21900,72990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Аметист (1 шт, 0.531 карат) и еще 1",Красное золото 585 пробы,,716198
18-06-2024,Sokolov,Кольцо из золота с топазом и фианитами,rings,1.76 г,19500,64990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 1.822 карат) и еще 1",Красное золото 585 пробы,,716231
18-06-2024,Sokolov,Кольцо из золота с топазами,rings,1.19 г,20400,67990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.23 карат) и еще 2",Красное золото 585 пробы,,716266
18-06-2024,Sokolov,"Кольцо из золота с корундами, ситаллом и фианитами",rings,3.5 г,40500,89990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Корунд (1 шт, 0.16 карат) и еще 8",Красное золото 585 пробы,,716479
18-06-2024,Sokolov,Кольцо из золота с аметистом и фианитами,rings,2.26 г,30600,67990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Аметист (1 шт, 0.896 карат) и еще 3",Красное золото 585 пробы,,716492
18-06-2024,Sokolov,Кольцо из золота с раухтопазом и фианитами,rings,3.67 г,40500,89990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Раухтопаз (1 шт, 3.319 карат) и еще 1",Красное золото 585 пробы,,716532
18-06-2024,Sokolov,Кольцо из золота с топазом,rings,2.1 г,23850,52990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 1.985 карат)",Красное золото 585 пробы,,716539
18-06-2024,Sokolov,Кольцо из золота с лондон топазом и фианитами,rings,2.46 г,30000,99990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Лондон топаз (1 шт, 2.869 карат) и еще 1",Красное золото 585 пробы,,716610
18-06-2024,Sokolov,Кольцо из золота с топазом,rings,1.95 г,23850,52990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 2.156 карат)",Красное золото 585 пробы,,716621
18-06-2024,Sokolov,Кольцо из золота с раухтопазом,rings,2.29 г,26100,57990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Раухтопаз (1 шт, 2.286 карат)",Красное золото 585 пробы,,716626
18-06-2024,Sokolov,Кольцо из золота с аметистом,rings,2.41 г,33750,74990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Аметист (1 шт, 2.829 карат)",Красное золото 585 пробы,,716661
18-06-2024,Sokolov,Кольцо из золота с топазом и фианитами,rings,1.28 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.59 карат) и еще 1",Красное золото 585 пробы,,716663
18-06-2024,Sokolov,Кольцо из золота с лондон топазом,rings,1.91 г,24000,79990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Лондон топаз (1 шт, 2.3 карат)",Красное золото 585 пробы,,716674
18-06-2024,Sokolov,Кольцо из золота с аметистом,rings,1.83 г,20400,67990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Аметист (1 шт, 1.64 карат)",Красное золото 585 пробы,,716675
18-06-2024,Sokolov,Кольцо из золота с гранатом,rings,2.07 г,12900,42990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (1 шт, 2.113 карат)",Красное золото 585 пробы,,716703
18-06-2024,Sokolov,Кольцо из золота с лондон топазом и фианитами,rings,1.6 г,19350,42990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Лондон топаз (1 шт, 0.944 карат) и еще 1",Красное золото 585 пробы,,716743
18-06-2024,Sokolov,Кольцо из золота с гранатами и фианитами,rings,2.11 г,21000,69990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Гранат (6 шт, 1.153 карат) и еще 1",Красное золото 585 пробы,,716820
18-06-2024,Sokolov,Кольцо из золота с агатами и фианитами,rings,2.09 г,23400,77990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Агат (6 шт, 0.82 карат) и еще 1",Красное золото 585 пробы,,716821
18-06-2024,Sokolov,Кольцо из золота с топазами и фианитами,rings,1.87 г,33750,74990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.175 карат) и еще 5",Красное золото 585 пробы,,716935
18-06-2024,Sokolov,Кольцо из золота с топазами,rings,1.96 г,21000,69990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (1 шт, 0.269 карат) и еще 2",Красное золото 585 пробы,,716945
18-06-2024,Sokolov,Кольцо из золота с топазами,rings,2.48 г,31500,104990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Топаз (12 шт, 3.244 карат)",Красное золото 585 пробы,,716975
18-06-2024,Sokolov,Серьги из золота с бриллиантами и лондон топазами,earrings,2.77 г,49500,109990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (36 шт, 0.108 карат) и еще 1",Красное золото 585 пробы,Английский,72-00004
18-06-2024,Sokolov,Серьги из золота с бриллиантами и гранатами,earrings,1.38 г,30600,67990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (24 шт, 0.059 карат) и еще 1",Красное золото 585 пробы,Пусет,72-00025
18-06-2024,Sokolov,Серьги из золота с бриллиантами и топазами,earrings,2.33 г,40500,134990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (36 шт, 0.133 карат) и еще 1",Красное золото 585 пробы,Английский,72-00080
18-06-2024,Sokolov,Серьги из золота с бриллиантами и гранатами,earrings,2.53 г,38250,84990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (8 шт, 0.03 карат) и еще 3",Красное золото 585 пробы,Английский,72-00096
