data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Серьги из золота с бриллиантами и танзанитами,earrings,3.54 г,117000,259990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (36 шт, 0.156 карат) и еще 2",Красное золото 585 пробы,Английский,6024124
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,3.24 г,83250,184990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (36 шт, 0.105 карат) и еще 1",Белое золото 585 пробы,Английский,6024159
18-06-2024,Sokolov,Серьги из золота с бриллиантами и танзанитами,earrings,2.78 г,65250,144990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (24 шт, 0.07 карат) и еще 1",Красное золото 585 пробы,Английский,6024200
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,2.79 г,65250,144990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (24 шт, 0.07 карат) и еще 1",Белое золото 585 пробы,Английский,6024200-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,1.62 г,44100,97990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (24 шт, 0.091 карат) и еще 1",Белое золото 585 пробы,,6024252-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,2.06 г,65250,144990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (32 шт, 0.122 карат) и еще 1",Белое золото 585 пробы,Пусет,6024355-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,2.17 г,49500,109990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (32 шт, 0.124 карат) и еще 1",Белое золото 585 пробы,Пусет,6024356-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,1.86 г,65250,144990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (24 шт, 0.189 карат) и еще 1",Белое золото 585 пробы,Пусет,6024394-3
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и танзанитами,earrings,2.51 г,65250,144990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (30 шт, 0.114 карат) и еще 1",Белое золото 585 пробы,Английский,6024400-3
18-06-2024,Sokolov,Серьги из золота с бриллиантами и чёрными керамическими вставками,earrings,3.13 г,63000,139990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.074 карат)",Красное золото 585 пробы,3.13 г,6025051
18-06-2024,Sokolov,Серьги из золота с бриллиантами и чёрными керамическими вставками,earrings,2.19 г,63000,139990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.077 карат)",Красное золото 585 пробы,2.19 г,6025056
18-06-2024,Sokolov,Серьги из золота с бриллиантами и белыми керамическими вставками,earrings,1.51 г,54000,119990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.075 карат)",Красное золото 585 пробы,1.51 г,6025070
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и чёрными керамическими вставками,earrings,1.49 г,56250,124990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.076 карат)",Белое золото 585 пробы,1.49 г,6025071
18-06-2024,Sokolov,Серьги из белого золота с бриллиантами и белыми керамическими вставками,earrings,1.44 г,49500,109990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.076 карат)",Белое золото 585 пробы,1.44 г,6025072
18-06-2024,Sokolov,Серьги из золота с бриллиантами и чёрными керамическими вставками,earrings,2.87 г,67500,149990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.032 карат)",Красное золото 585 пробы,2.87 г,6025097
18-06-2024,Sokolov,Серьги из золота с бриллиантами и чёрными керамическими вставками,earrings,3.02 г,69750,154990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.033 карат)",Красное золото 585 пробы,3.02 г,6025101
18-06-2024,Sokolov,Серьги из золота с бриллиантами и чёрными керамическими вставками,earrings,3.39 г,78750,174990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (2 шт, 0.033 карат)",Красное золото 585 пробы,3.39 г,6025110
18-06-2024,Sokolov,Серьги из комбинированного золота с бриллиантами и керамическими вставками,earrings,1.85 г,42750,94990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (14 шт, 0.054 карат)",Комбинированное золото 585 пробы,1.85 г,6025152
18-06-2024,Sokolov,Серьги из комбинированного золота с бриллиантами и керамическими вставками,earrings,1.83 г,42750,94990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (14 шт, 0.041 карат)",Комбинированное золото 585 пробы,1.83 г,6025153
18-06-2024,Sokolov,Подвеска из золота с бриллиантами и танзанитом,pendants,0.62 г,18000,39990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (10 шт, 0.029 карат) и еще 1",Красное золото 585 пробы,,6034089
18-06-2024,Sokolov,Подвеска из белого золота с бриллиантами и  аквамарином,pendants,0.66 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (16 шт, 0.059 карат) и еще 1",Белое золото 585 пробы,,6034134-3
18-06-2024,Sokolov,Кольцо из золота с бесцветными и чёрными бриллиантами,rings,1.71 г,65250,144990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Черный бриллиант (12 шт, 0.311 карат) и еще 1",Красное золото 585 пробы,,7010056
