data,competitor,name,group,weight,price,price_old,discount,insert,metal,lock_type_or_weaving_type,article
18-06-2024,Sokolov,Подвеска из золота,pendants,0.25 г,4950,10990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,036192
18-06-2024,Sokolov,Подвеска из золота,pendants,0.22 г,4500,9990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,Без вставок,Красное золото 585 пробы,,034667
18-06-2024,Sokolov,Подвеска из золота с фианитами,pendants,2.09 г,31500,69990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (5 шт, 0.143 карат)",Красное золото 585 пробы,,036588
18-06-2024,Sokolov,Подвеска из золота с фианитами,pendants,1.86 г,27000,59990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (3 шт, 0.084 карат)",Красное золото 585 пробы,,036633
18-06-2024,Sokolov,Подвеска из золота с фианитами,pendants,1.32 г,21600,47990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Фианит (14 шт, 0.119 карат)",Красное золото 585 пробы,1.32 г,036578
18-06-2024,Sokolov,"Обручальное кольцо из золота с бриллиантами, comfort fit",rings,3.03 г,76500,169990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (7 шт, 0.092 карат)",Красное золото 585 пробы,,1114292-01
18-06-2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 4 мм",rings,3.13 г,44550,98990,,Без вставок,Комбинированное золото 585 пробы,,114110-01
18-06-2024,Sokolov,"Обручальное кольцо из золота с бриллиантами, comfort fit",rings,3.03 г,69750,154990,Второе золотое украшение БЕСПЛАТНО! 1 = 2,"Бриллиант (природный) (7 шт, 0.088 карат)",Красное золото 585 пробы,,1114293-01
18-06-2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 4 мм",rings,3.13 г,45000,99990,,Без вставок,Комбинированное золото 585 пробы,,114120-01
18-06-2024,Sokolov,"Обручальное кольцо из комбинированного золота , comfort fit, 3,5 мм",rings,2.26 г,31500,69990,Дополнительная скидка по акции «Калейдоскоп скидок!» ЕЩЁ -10%,Без вставок,Комбинированное золото 585 пробы,,110202
