index,date,competitor,name,group,params,price_x,article,url,price_old,price_y,price_personal,discount
0,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '10-00-0000-27628*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.36 г'}",20990,235978,https://sunlight.net/catalog/earring_235978.html,,20 990 ₽,,['ХИТ-цена']
0,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '10-00-0000-27628*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.36 г'}",20990,235978,https://sunlight.net/catalog/earring_235978.html,,20 990 ₽,,['ХИТ-цена']
0,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '10-00-0000-27628*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '2.36 г'}",20990,235978,https://sunlight.net/catalog/earring_235978.html,,20 990 ₽,,['ХИТ-цена']
1,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '11-01-0015-40100*', 'Материал изделия': 'Розовое золото', 'Диаметр серег': '15 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.77 г'}",6490,51498,https://sunlight.net/catalog/earring_51498.html,,6 490 ₽,,['ХИТ-цена']
1,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '11-01-0015-40100*', 'Материал изделия': 'Розовое золото', 'Диаметр серег': '15 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.77 г'}",6490,51498,https://sunlight.net/catalog/earring_51498.html,,6 490 ₽,,['ХИТ-цена']
1,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '11-01-0015-40100*', 'Материал изделия': 'Розовое золото', 'Диаметр серег': '15 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.77 г'}",6490,51498,https://sunlight.net/catalog/earring_51498.html,,6 490 ₽,,['ХИТ-цена']
2,30.05.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '35-0479-11-00*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.26 г'}",2490,75809,https://sunlight.net/catalog/pendants_75809.html,,2 490 ₽,,['ХИТ-цена']
2,30.05.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '35-0479-11-00*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.26 г'}",2490,75809,https://sunlight.net/catalog/pendants_75809.html,,2 490 ₽,,['ХИТ-цена']
2,30.05.2024,Sunlight,"
    Золотой крест-подвеска
  ",Крест-подвеска,"{'Модель': '35-0479-11-00*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.26 г'}",2490,75809,https://sunlight.net/catalog/pendants_75809.html,,2 490 ₽,,['ХИТ-цена']
3,30.05.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '00-63-0184-00К*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.21 г'}",1990,993847,https://sunlight.net/catalog/pendants_993847.html,,1 990 ₽,,['ХИТ-цена']
3,30.05.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '00-63-0184-00К*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.21 г'}",1990,993847,https://sunlight.net/catalog/pendants_993847.html,,1 990 ₽,,['ХИТ-цена']
3,30.05.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': '00-63-0184-00К*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.21 г'}",1990,993847,https://sunlight.net/catalog/pendants_993847.html,,1 990 ₽,,['ХИТ-цена']
4,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '200100.16-1ш/з*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.04 г'}",10490,271510,https://sunlight.net/catalog/earring_271510.html,,10 490 ₽,,['ХИТ-цена']
4,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '200100.16-1ш/з*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.04 г'}",10490,271510,https://sunlight.net/catalog/earring_271510.html,,10 490 ₽,,['ХИТ-цена']
4,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '200100.16-1ш/з*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.04 г'}",10490,271510,https://sunlight.net/catalog/earring_271510.html,,10 490 ₽,,['ХИТ-цена']
5,30.05.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-948-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '2,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.87 г'}",6495,320587,https://sunlight.net/catalog/ring_42370.html,,6 495 ₽,,['ХИТ-цена']
5,30.05.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-948-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '2,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.87 г'}",6495,320587,https://sunlight.net/catalog/ring_42370.html,,6 495 ₽,,['ХИТ-цена']
5,30.05.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-948-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '2,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.87 г'}",6495,320587,https://sunlight.net/catalog/ring_42370.html,,6 495 ₽,,['ХИТ-цена']
6,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '10143-C5Y-01', 'Материал изделия': 'Желтое золото', 'Диаметр серег': '30 мм', 'Страна производства': 'Италия', 'Вес изделия': '2.08 г'}",40990,82998,https://sunlight.net/catalog/earring_82998.html,136 633 ₽,40 990 ₽,28 693 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
6,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '10143-C5Y-01', 'Материал изделия': 'Желтое золото', 'Диаметр серег': '30 мм', 'Страна производства': 'Италия', 'Вес изделия': '2.08 г'}",40990,82998,https://sunlight.net/catalog/earring_82998.html,136 633 ₽,40 990 ₽,28 693 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
6,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '10143-C5Y-01', 'Материал изделия': 'Желтое золото', 'Диаметр серег': '30 мм', 'Страна производства': 'Италия', 'Вес изделия': '2.08 г'}",40990,82998,https://sunlight.net/catalog/earring_82998.html,136 633 ₽,40 990 ₽,28 693 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
7,30.05.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-950-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.59 г'}",13995,320588,https://sunlight.net/catalog/ring_35937.html,,13 995 ₽,,['ХИТ-цена']
7,30.05.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-950-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.59 г'}",13995,320588,https://sunlight.net/catalog/ring_35937.html,,13 995 ₽,,['ХИТ-цена']
7,30.05.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-950-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '4,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.59 г'}",13995,320588,https://sunlight.net/catalog/ring_35937.html,,13 995 ₽,,['ХИТ-цена']
8,30.05.2024,Sunlight,"
    Колье-леска с золотым замком
  ",Колье,"{'Модель': '01Л011654*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.47 г'}",9490,134012,https://sunlight.net/catalog/necklace_134012.html,18 980 ₽,9 490 ₽,6 643 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
8,30.05.2024,Sunlight,"
    Колье-леска с золотым замком
  ",Колье,"{'Модель': '01Л011654*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.47 г'}",9490,134012,https://sunlight.net/catalog/necklace_134012.html,18 980 ₽,9 490 ₽,6 643 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
8,30.05.2024,Sunlight,"
    Колье-леска с золотым замком
  ",Колье,"{'Модель': '01Л011654*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.47 г'}",9490,134012,https://sunlight.net/catalog/necklace_134012.html,18 980 ₽,9 490 ₽,6 643 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
9,30.05.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': '8050154П-50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,16 мм', 'Плетение': 'Ромб двойной', 'Страна производства': 'Россия', 'Вес изделия': '3.2 г'}",18528,35525,https://sunlight.net/catalog/chains_35525.html,,18 528 ₽,,['ХИТ-цена']
9,30.05.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': '8050154П-50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,16 мм', 'Плетение': 'Ромб двойной', 'Страна производства': 'Россия', 'Вес изделия': '3.2 г'}",18528,35525,https://sunlight.net/catalog/chains_35525.html,,18 528 ₽,,['ХИТ-цена']
9,30.05.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': '8050154П-50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,16 мм', 'Плетение': 'Ромб двойной', 'Страна производства': 'Россия', 'Вес изделия': '3.2 г'}",18528,35525,https://sunlight.net/catalog/chains_35525.html,,18 528 ₽,,['ХИТ-цена']
10,30.05.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'НЦ 12-200 0,50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,08 мм', 'Плетение': 'Нонна', 'Страна производства': 'Россия', 'Вес изделия': '6.35 г'}",33592,46797,https://sunlight.net/catalog/chains_46797.html,,33 592 ₽,,"['ХИТ-цена', 'Выгодно! Золото 5 290 р/г']"
10,30.05.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'НЦ 12-200 0,50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,08 мм', 'Плетение': 'Нонна', 'Страна производства': 'Россия', 'Вес изделия': '6.35 г'}",33592,46797,https://sunlight.net/catalog/chains_46797.html,,33 592 ₽,,"['ХИТ-цена', 'Выгодно! Золото 5 290 р/г']"
10,30.05.2024,Sunlight,"
    Золотая цепь
  ",Цепи,"{'Модель': 'НЦ 12-200 0,50*', 'Материал изделия': 'Розовое золото', 'Ширина цепи': '3,08 мм', 'Плетение': 'Нонна', 'Страна производства': 'Россия', 'Вес изделия': '6.35 г'}",33592,46797,https://sunlight.net/catalog/chains_46797.html,,33 592 ₽,,"['ХИТ-цена', 'Выгодно! Золото 5 290 р/г']"
11,30.05.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': 'Т140035517*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '0.44 г'}",3790,65775,https://sunlight.net/catalog/pendants_65775.html,,3 790 ₽,,['ХИТ-цена']
11,30.05.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': 'Т140035517*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '0.44 г'}",3790,65775,https://sunlight.net/catalog/pendants_65775.html,,3 790 ₽,,['ХИТ-цена']
11,30.05.2024,Sunlight,"
    Золотая подвеска
  ",Подвески,"{'Модель': 'Т140035517*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '0.44 г'}",3790,65775,https://sunlight.net/catalog/pendants_65775.html,,3 790 ₽,,['ХИТ-цена']
12,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '11-01-0015-40120*', 'Материал изделия': 'Розовое золото', 'Диаметр серег': '15 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.74 г'}",13990,46707,https://sunlight.net/catalog/earring_46707.html,27 980 ₽,13 990 ₽,9 793 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
12,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '11-01-0015-40120*', 'Материал изделия': 'Розовое золото', 'Диаметр серег': '15 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.74 г'}",13990,46707,https://sunlight.net/catalog/earring_46707.html,27 980 ₽,13 990 ₽,9 793 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
12,30.05.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '11-01-0015-40120*', 'Материал изделия': 'Розовое золото', 'Диаметр серег': '15 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.74 г'}",13990,46707,https://sunlight.net/catalog/earring_46707.html,27 980 ₽,13 990 ₽,9 793 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
13,30.05.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '2-355*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.22 г'}",44760,256231,https://sunlight.net/catalog/ring_256231.html,89 520 ₽,44 760 ₽,31 332 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
13,30.05.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '2-355*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.22 г'}",44760,256231,https://sunlight.net/catalog/ring_256231.html,89 520 ₽,44 760 ₽,31 332 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
13,30.05.2024,Sunlight,"
    Золотое кольцо
  ",Кольца,"{'Модель': '2-355*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.22 г'}",44760,256231,https://sunlight.net/catalog/ring_256231.html,89 520 ₽,44 760 ₽,31 332 ₽,['Ещё -30% по коду: НОЧЬ до 11:00']
