index,date,competitor,name,group,params,price_x,article,url,price_old,price_y,price_personal,discount
270,03.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '00242-20-030001-00*', 'Материал изделия': 'Желтое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.21 г'}",40990,991111,https://sunlight.net/catalog/earring_991111.html,81 980 ₽,40 990 ₽,28 693 ₽,['Ещё -30% по коду: ЛЕТО до 3 июня']
271,03.06.2024,Sunlight,"
    Золотая подвеска ""Святой Николай Чудотворец""
  ",Подвески,"{'Модель': '740236*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Страна производства': 'Россия', 'Вес изделия': '1.2 г'}",21990,310755,https://sunlight.net/catalog/pendants_310755.html,43 980 ₽,21 990 ₽,15 393 ₽,['Ещё -35% по коду: ЛЕТО до 3 июня']
272,03.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '15-01-0000-24690*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.64 г'}",8990,155069,https://sunlight.net/catalog/earring_155069.html,17 980 ₽,8 990 ₽,6 293 ₽,['Ещё -35% по коду: ЛЕТО до 3 июня']
273,03.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'Т100029608*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '3.14 г'}",49990,103807,https://sunlight.net/catalog/earring_103807.html,99 980 ₽,49 990 ₽,34 993 ₽,['Ещё -30% по коду: ЛЕТО до 3 июня']
274,03.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': 'СГ-18/1019_4*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '1.85 г'}",23990,258325,https://sunlight.net/catalog/earring_258325.html,47 980 ₽,23 990 ₽,16 793 ₽,['Ещё -35% по коду: ЛЕТО до 3 июня']
275,03.06.2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': 'Т2150382120*', 'Ширина браслета': '7,58 мм', 'Плетение': 'Гарибальди', 'Страна производства': 'Россия', 'Вес изделия': '32.16 г'}",192638,301848,https://sunlight.net/catalog/bracelets_301848.html,,192 638 ₽,,['ХИТ-цена']
276,03.06.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-933-003Б*', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Ширина кольца': '3,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '1.68 г'}",25700,340486,https://sunlight.net/catalog/ring_340486.html,51 400 ₽,25 700 ₽,17 990 ₽,['Ещё -35% по коду: ЛЕТО до 3 июня']
277,03.06.2024,Sunlight,"
    Золотой браслет
  ",Браслеты,"{'Модель': '7050154-18*', 'Материал изделия': 'Розовое золото', 'Ширина браслета': '2,8 мм', 'Плетение': 'Ромб двойной', 'Страна производства': 'Россия', 'Вес изделия': '2.71 г'}",14336,45278,https://sunlight.net/catalog/bracelets_45278.html,,14 336 ₽,,"['ХИТ-цена', 'Выгодно! Золото 5 290 р/г']"
278,03.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '2000013917*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '0.52 г'}",6490,38067,https://sunlight.net/catalog/earring_38067.html,,6 490 ₽,,['ХИТ-цена']
279,03.06.2024,Sunlight,"
    Золотые серьги
  ",Серьги,"{'Модель': '00-62-0269-00*', 'Материал изделия': 'Розовое золото', 'Страна производства': 'Россия', 'Вес изделия': '4.97 г'}",84990,336241,https://sunlight.net/catalog/earring_336241.html,169 980 ₽,84 990 ₽,59 990 ₽,['Ещё -35% по коду: ЛЕТО до 3 июня']
